,D,L_amount,Ec,Cfp,Ll,Cr,Ic,TotalCostAuto,TotalCostM
161,21.76020833333333,55.61694444444444,166.85083333333333,139.04236111111112,5.2,10.6,19450.50256423611,919.545895018729,1988.1372911458332
162,20.024166666666662,54.78430555555556,164.3529166666667,136.9607638888889,6.2,9.3,19470.071794722226,919.3969101244178,1988.9593947500005
163,20.511458333333334,51.23569444444444,154.50708333333333,128.4892361111111,3.8,11.2,19538.379487013888,921.077778784991,1994.1722959236113
164,20.441875,56.059444444444445,168.17833333333334,140.1486111111111,3.4,10.8,19761.84615423611,933.3500908772821,2019.3274418124997
165,21.28763888888889,52.43763888888889,157.51291666666665,131.1940972222222,4.0,9.9,19967.83589743056,940.9340728912953,2037.3868189097227
166,21.18451388888889,65.555625,196.666875,163.88906250000002,5.2,10.6,19830.358974305556,941.6232299832249,2032.5255050694445
167,21.74972222222222,75.34680555555556,226.0404166666667,188.3670138888889,13.4,10.7,21546.912820625,1025.9512064012686,2211.461677895833
168,21.708194444444445,76.954375,230.863125,192.3859375,10.8,8.7,20589.661538541663,982.2757995717669,2115.7173170486108
169,21.585069444444443,79.024375,237.073125,197.56093750000002,6.6,10.8,20817.846153680555,993.5603110216722,2140.2889660625005
170,22.89770833333333,74.16395833333334,222.49187500000002,185.40989583333334,5.4,8.7,21107.610255833333,1003.7562626756403,2165.2773693333334
171,24.01861111111111,60.765625,182.296875,151.9140625,3.8,10.2,20733.989743125,980.5355810940314,2119.758491673611
172,23.56951388888889,48.50923611111111,145.52770833333332,121.27309027777777,5.6,2.7,20866.297435694447,978.374533013434,2122.1576984305557
173,23.19708333333333,54.39430555555556,166.9829166666667,137.8857638888889,3.0,11.3,20837.948717777777,982.4496562131927,2126.8608787222224
174,21.523958333333333,72.98895833333333,218.966875,182.47239583333334,5.2,10.7,22132.22564125,1049.9099036357895,2267.6177828750006
175,22.51944444444445,74.67041666666667,224.01125000000002,186.67604166666666,3.2,10.3,23210.99487173611,1099.4826715224601,2376.3272024513885
176,22.78131944444445,79.095,237.285,197.7375,5.4,6.0,22729.55897430556,1078.9980160399537,2329.5857793750006
177,23.389097222222222,74.60583333333334,223.8175,186.51458333333335,3.6,7.7,21924.02051243056,1040.5414520626275,2246.674752631945
178,24.610972222222223,63.64743055555555,194.54229166666664,160.91857638888888,3.8,11.1,22212.471795,1049.8362950846583,2270.439106583334
179,24.86215277777778,67.61368055555556,203.04104166666667,169.1342013888889,6.0,9.4,22661.333332986116,1071.770127628566,2316.9584409375007
180,24.459722222222226,63.91784722222222,191.75354166666665,159.79461805555553,4.4,4.6,22621.333333402777,1066.2977353596968,2308.405906256945
181,25.45715277777778,55.70666666666667,179.12,145.26666666666668,6.0,5.2,24162.3849375,1134.0007497658814,2459.4735423611105
182,24.365625,74.0,278.0,213.0,4.8,3.3,24409.37238493056,1157.747210266591,2501.673800993057
183,24.945138888888888,80.13048611111111,240.39145833333333,200.32621527777778,1.8,9.7,24423.64016763889,1157.3924750908704,2501.003346625
184,25.27513888888889,78.75347222222223,236.26041666666669,196.88368055555557,3.4,9.6,24873.09623451389,1177.4141126243546,2545.206894284723
185,25.637083333333333,78.43340277777777,235.30020833333333,196.08350694444442,3.6,5.4,25060.66945618056,1184.63403171212,2562.132365756945
186,26.992708333333333,70.26472222222223,220.99416666666667,180.76180555555555,7.8,11.0,24744.937238263887,1169.9211845781033,2529.575064104167
187,29.424791666666668,50.14333333333334,150.43,125.35833333333335,6.4,6.0,24549.916317847223,1148.824122677165,2493.567277618056
188,26.971944444444446,53.81166666666667,161.435,134.52916666666667,7.0,12.0,25836.401674097226,1210.358800577395,2626.8149451875006
189,26.39090277777778,60.10930555555555,180.32791666666665,150.2732638888889,11.0,10.9,26615.648535625,1249.0795403775098,2708.7349924513896
190,28.63291666666667,39.566875,118.700625,98.91718750000001,5.6,12.2,27280.000000625,1268.9523285146252,2762.0217604791674
191,25.95256944444445,55.58111111111111,166.74333333333334,138.95277777777778,5.0,7.3,27623.34728034722,1290.3685431807387,2804.477707201389
192,25.84555555555556,70.05409722222223,210.16229166666668,175.13524305555558,2.8,4.0,27997.57322173611,1313.2177588135974,2849.7570409236114
193,25.693194444444444,74.6717361111111,224.0152083333333,186.67934027777775,10.8,10.3,27606.56903784722,1300.9603752367516,2816.962851701389
194,25.618472222222223,76.66763888888889,230.00291666666666,191.6690972222222,7.6,0.0,28225.60669493056,1326.4352943097902,2875.7164819930563
195,26.520972222222223,76.01520833333333,231.045625,191.53802083333335,3.2,11.2,29449.2887025,1384.744128924622,3002.2408528888895
196,26.709097222222223,80.48388888888888,241.65166666666664,201.3097222222222,7.8,5.9,29578.451882569443,1391.7974053155865,3016.000625756945
197,28.50208333333333,57.784375,173.35312499999998,144.4609375,3.8,9.0,29239.20502027778,1365.693033400501,2968.3105541111113
198,29.270416666666662,38.761875,126.08562500000001,101.8046875,6.8,3.6,29595.941422291668,1372.4189537326304,2991.3064026458337
199,28.355138888888888,43.07895833333333,132.636875,109.39739583333333,2.0,4.3,30371.7573225,1408.339111261255,3070.4425690555554
200,27.535833333333333,51.79534722222222,159.78604166666665,131.68836805555554,4.0,11.0,30074.895396875,1401.466157100128,3049.370098715278
201,32.428958333333334,29.35986111111111,88.27958333333332,73.49965277777777,4.8,8.8,29318.493723819447,1356.1054243173182,2958.2061779375003
202,28.659166666666668,46.03659722222223,138.1097916666667,115.09149305555557,6.4,11.6,30545.774058472223,1420.3526498747624,3092.6471107083335
203,27.36888888888889,41.410138888888895,124.23041666666668,103.52534722222224,7.2,9.6,31252.761506319446,1449.3622848090693,3159.489629798611
204,27.869375,46.026875,138.080625,115.06718749999999,11.4,11.7,30630.00000020833,1424.8534088259935,3101.524406270832
205,25.21527777777778,57.533750000000005,172.60125000000002,143.83437500000002,7.4,8.2,32700.209205000003,1522.2341760393908,3313.959385777778
206,29.19694444444444,45.28784722222222,135.86354166666666,113.21961805555554,6.6,9.8,31872.050209097222,1479.78732638282,3224.141816048611
207,28.38590277777778,47.90520833333333,143.715625,119.76302083333331,6.8,11.8,31783.179916250003,1477.504732779696,3217.6949673194445
